"RECORD #(BIBLIO)"	"UPDATED(BIBLIO)"	"245"	"246"	"530"	"538"	"590"	"690"	"856"
"b10871366"	"10-21-2011"	"International financial statistics / International Monetary Fund"	""	"Available via Internet, http://www.imfstatistics.org/"	"System requirements: IBM PC or compatible; DOS 2.2 or higher; 640K or higher; hard disk drive; CD-ROM disk drive; MS CD-ROM extensions"|"System requirements: IBM PC or compatible; DOS 2.2 or higher; 640K or higher; hard disk drive; CD-ROM disk drive; MS CD-ROM extensions"	"Provides users with time series which summarize each country's balance of payments, with collateral data on its principal components (trade and reserves), and data on the principal cause and effect elements (monetary expansion and contraction, government surpluses and deficits, production, prices and interest rates). Coverage: 1948 - current"	"Economics and business"|"Government information"	"View online version http://0-www.imfstatistics.org.tiger.coloradocollege.edu/"
"b10880227"	"08-01-2012"	"The New York times"	"Issues for Sept. 19-26, 1923 published jointly with other newspapers as: Combined New York morning newspapers"|"Issue for Sept. 23, 1923 published jointly with other newspapers as: Combined New York Sunday newspapers"	"Available via Internet, New York Times, http://www.nytimes.comAvailable ; Also, available via Proquest,http://search.proquest.com/hnpnewyorktimes/advanced?accountid=10222"|"Also available on microfilm from University Microfilms International"	""	"Provides complete, full-image access to historical articles from the New York Times from 1851 to 3 years from present. Coverage: 1851 - 3 years from current"	"History"|"Political science"	"View online version: 1851 to three years from present http://0-search.proquest.com.tiger.coloradocollege.edu/hnpnewyorktimes/advanced?accountid=10222"|"View online version through New York Times: 1851-1922 and 1987-present  http://www.nytimes.com"
"b11912315"	"03-01-2012"	"Popular names of U.S. Government reports : a catalog / compiled by Bernard A. Bernier, Jr., Katherine F. Gould, Porter Humphrey, Serial Division, Reference Department"	""	"Available via Internet, http://bl-libg-doghill.ads.iu.edu/gpd-web/popnames/popnames.html"	""	"Search for many government publications that are known by short titles that appear nowhere in the document"	"Government information"	"View online http://bl-libg-doghill.ads.iu.edu/gpd-web/popnames/popnames.html"
"b12274185"	"03-20-2012"	"Environmental health perspectives : EHP"	"EHP"	"Also available via Internet from the NIEHS web site. Address as of 10/18/01: http://ehpnet1.niehs.nih.gov/docs/allpubs.html; current access is available via PURL"	""	"Monthly journal of peer-reviewed research and news published by the U.S. National Institute of Environmental Health Sciences, National Institutes of Health, Department of Health and Human Services."	"Government information"	"View online http://purl.access.gpo.gov/GPO/LPS1466"
"b12295024"	"04-23-2012"	"The Encyclopaedia of Islam"	""	"Available via Internet, http://referenceworks.brillonline.com/cluster/Encyclopedia of Islam?s.num=0"	""	"Offers basic searching of the full-text of nearly 12,000 pages of volumes I to XI and Supplement (Volume XII) of the print edition. Coverage: historical"	"Africa"|"Anthropology"|"Archaeology"|"Art"|"Asian studies"|"History"|"Political science"|"Religion"	"View online http://0-referenceworks.brillonline.com.tiger.coloradocollege.edu/cluster/Encyclopedia of Islam?s.num=0"
"b12295073"	"11-12-2009"	"Handbook of Latin American studies"	""	"Available via Internet, http://lcweb2.loc.gov/hlas/mdbquery.html"	""	"Annotated bibliography of scholarly works on Latin American studies. Online version of the print title, volume 1 - present. Multidisciplinary topics. Covers humanities and social sciences. Coverage: 1935 - current"|"Library has: no. 27, 31, 32"	"Anthropology"|"History"|"Latin America"|"Political science"	"View online version  http://0-lcweb2.loc.gov.tiger.coloradocollege.edu/hlas/mdbquery.html"
"b12919238"	"10-21-2011"	"World development report"	""	"Also issued under the same title as a CD-ROM"|"Available via Internet, http://econ.worldbank.org/wdr/"	""	"Published annually by the World Bank, these reports address various issues pertinent to the changing development landscape. Coverage: 1978 - current"	"Government information"	"View online version http://0-econ.worldbank.org.tiger.coloradocollege.edu/wdr/"
"b1318720x"	"06-15-2011"	"The Johns Hopkins guide to literary theory & criticism [computer file] / edited by Michael Groden and Martin Kreiswirth"	""	"Also available in printed form under title: The Johns Hopkins guide to literary theory and criticism, 1994 edition"|"Available via Internet, http://litguide.press.jhu.edu/ http"	"Mode of access: Internet"	"Searchable, full-text online version of the well known reference to the intellectual traditions of literary theory. Coverage: N/A"	"Comparative literature"|"English language and literature"	"View online version http://0-litguide.press.jhu.edu.tiger.coloradocollege.edu/"
"b1320631x"	"12-13-2011"	"STAT-USA Internet [electronic resource]"	"STAT-USA"	""	"Available via Internet, http://www.stat-usa.gov/stat-usa.html"	"Obtain current and historical U.S. statistical releases, state and regional analysis reports, forecasts, and financial data along with current and historical trade-related releases, international market research, country analysis, and trade and procurement leads"	"Government information"	"View online http://0-www.stat-usa.gov.coloradocollege.edu/stat-usa.html"
"b13216648"	"08-19-2008"	"DOE information bridge [computer file]"	"HTML source title: Information bridge"|"Department of energy information bridge"	""	"Available via Internet, http://www.osti.gov/bridge/"	"Full-text documents and bibliographic citations of DOE research literature in physics, chemistry, materials, biology, environmental sciences, energy technologies, engineering, computer and information science, renewable energy, and other topics; primarily from 1991 forward"	"Government information"	"View online http://www.osti.gov/bridge/"|"View online - PURL http://purl.access.gpo.gov/GPO/LPS534"
"b13245181"	"09-07-2010"	"WorldCat [computer file]"	"World cat"	"Available via Internet, http://newfirstsearch.oclc.org/autho=100113258:dbname=WorldCat:FSIP"	""	"Union catalog of libraries around the world.  Use WorldCat to order items through Interlibrary Loan that are not available through Prospector.  WorldCat is also useful for determining if a nearby library has a book or periodical that is needed right away, and for regional libraries not in the Prospector system. Coverage: N/A"	"All subjects"|"Government information"	"View online version: http://0-newfirstsearch.oclc.org.tiger.coloradocollege.edu/autho=100113258:dbname=WorldCat:FSIP"
