Filename,Microfilm #,Reel #,Historical Date Covered,Title,Geographic Grouping,Tribe,Part,Publication Date,LCSH
Harrington_mf5_r1.pdf,5,1,1907-1959,Vocabulary,Plains,Kiowa,,1986,"""http://id.loc.gov/authorities/subjects/sh85072494"", ""http://id.loc.gov/authorities/subjects/sh99001558"""
Harrington_mf5_r2.pdf,5,2,1907-1959,Vocabulary,Plains,Kiowa,,1986,"""http://id.loc.gov/authorities/subjects/sh85072494"", ""http://id.loc.gov/authorities/subjects/sh99001558"""
Harrington_mf5_r3.pdf,5,3,1907-1959,Comparative Vocabulary,Plains,Kiowa,,1986,"""http://id.loc.gov/authorities/subjects/sh85072494"", ""http://id.loc.gov/authorities/subjects/sh99001558"""
Harrington_mf5_r4.pdf,5,4,1907-1959,Dictionary,Plains,Kiowa,,1986,"""http://id.loc.gov/authorities/subjects/sh85072494"", ""http://id.loc.gov/authorities/subjects/sh85037700"""
Harrington_mf5_r5.pdf,5,5,1907-1959,Dictionary,Plains,Kiowa,,1986,"""http://id.loc.gov/authorities/subjects/sh85072494"", ""http://id.loc.gov/authorities/subjects/sh85037700"""
Harrington_mf5_r6.pdf,5,6,1907-1959,Dictionary,Plains,Kiowa,,1986,"""http://id.loc.gov/authorities/subjects/sh85072494"", ""http://id.loc.gov/authorities/subjects/sh85037700"""
Harrington_mf5_r7.pdf,5,7,1907-1959,Dictionary,Plains,Kiowa,,1986,"""http://id.loc.gov/authorities/subjects/sh85072494"", ""http://id.loc.gov/authorities/subjects/sh85037700"""
Harrington_mf5_r8_1.pdf,5,8,1907-1959,"""Dictionary"", ""Linguistic Notes""",Plains,Kiowa,1 of 4,1986,"""http://id.loc.gov/authorities/subjects/sh85072494"", ""http://id.loc.gov/authorities/subjects/sh85037700"""
Harrington_mf5_r8_2.pdf,5,8,1907-1959,"""Dictionary"", ""Linguistic Notes""",Plains,Kiowa,2 of 4,1986,"""http://id.loc.gov/authorities/subjects/sh85072494"", ""http://id.loc.gov/authorities/subjects/sh85037700"""
Harrington_mf5_r8_3.pdf,5,8,1907-1959,"""Dictionary"", ""Linguistic Notes""",Plains,Kiowa,3 of 4,1986,"""http://id.loc.gov/authorities/subjects/sh85072494"", ""http://id.loc.gov/authorities/subjects/sh85037700"""
